,PMU_EXAMPLE_FAKE_092be9f8_f19f_11ec_ad61_30d042e819fe
pmc0,"0.3745401188473625,0.03142918568673425,0.6420316461542878,0.0516817211686077,0.10312386883593261,0.6981617140197451,0.16893506307216455,0.5325894325515859,0.7072386343133986,0.20788625514602732,0.18513292883861965,0.05784267656339637,0.7582631959290226,0.03158614482564204,0.16704190790094986,0.519081785136218,0.1918673247187429,0.96582216115322,0.9565013982994801,0.5542265141320166,0.26170568373590597,0.9150900684070432,0.9768003285106593,0.8025856795798129,0.34060416658129167,0.8275189221063031,0.6295576968917366,0.521296047654139,0.7925951162883833,0.12786680122241756,0.672702994208898,0.0926254830513672,0.5533711897497718,0.4334722327556344,0.06725591396736785,0.28651954892712295,0.14122354337314946,0.6114636112256608,0.2963576135132884,0.4313017063410146,0.5719958782835928,0.631375326048251,0.8499593305032054,0.08061540516960175,0.12328377929894685,0.5992992870063887,0.19863161386186912,0.24997289086882968,0.12384602670581746,0.006047043183978418,0.3936355202774421,0.4490785141348759,0.3044904243540304,0.7835015025879088,0.24399530235247224,0.5187478471147094,0.26814322961192083,0.2948172383467669,0.2994231248031066,0.6315443786761603,0.648256954077822,0.3525292413005173,0.7032800540422505,0.7829236142575724,0.6842090751884866,0.20117523228887946,0.5334802087447829,0.5712129177515172,0.057099078445176366,0.22971628368323171,0.03879945472888746,0.009165550183816484,0.36901773241117275,0.12903640888942491,0.06560076494502953,0.5428781323608052,0.6680194525125599,0.9966832779346797,0.03782013655203531,0.5770204016905583,0.7202679239473956,0.8162278518628002,0.19128915669651436,0.7882752081708296,0.4990361729040813,0.42449283267653515,0.4183630384287931,0.927900629862027,0.7636152989616567,0.3650836732844007,0.9135780114026949,0.5764055514536334,0.945629677748997,0.2651232614457395,0.6869274167743025,0.5166642598438743,0.019172910749898242,0.7807327300286697,0.7848829833877943,0.023110668467792195"
pmc1,"0.9507143064099162,0.6364104112637804,0.08413996499504883,0.531354631568148,0.9025529066795667,0.5360963663441204,0.2785903390319586,0.05182353682242691,0.15253904291426135,0.026532203873819715,0.5419009473783581,0.9691026301408113,0.02458691645880151,0.9362122462436898,0.16761921628831766,0.47918187762973097,0.32337156211552076,0.432497878330132,0.737508359459007,0.005229613542912737,0.24697879907199982,0.53302886724614,0.11072059332631567,0.5720486433693008,0.071711888847651,0.7645277946547177,0.05433203482290383,0.9760138232792136,0.9078987937796194,0.7655467505158609,0.7966813971913723,0.7483843496762314,0.50313247255154,0.9971823539029504,0.09491793682166971,0.8026403123529297,0.5708774168394762,0.6784999682926378,0.9383157286513161,0.37904048538303503,0.8054323292999863,0.4263983568016225,0.19624571670616564,0.9395685890251657,0.5185616886657339,0.5137078552153048,0.7833872199958384,0.07336406745960267,0.07053563759295656,0.4838602188643114,0.4734356593750214,0.5776130806371337,0.9829468795547008,0.010513224541653488,0.9667342275351081,0.051165506445475906,0.315668481164066,0.3545482088286074,0.10015499750676693,0.5429404444893278,0.17238636210516622,0.7226835744744866,0.40252635549014204,0.4426548482604331,0.8824411913475817,0.0800634025289656,0.5963935996924615,0.7453977391415395,0.11054316630858052,0.19957161589593875,0.18677252823112933,0.2013991027938874,0.13551687356075404,0.4303164280423909,0.6906153123866363,0.8328935948872295,0.1766823141763052,0.7507902311797877,0.12305212359032491,0.2211476101106934,0.6872830044131277,0.9882621151431868,0.40740527161134876,0.25903514410334716,0.931535049155262,0.30932422435822293,0.714153146392174,0.8283781456016462,0.2582643578871635,0.912584217924823,0.525360481819498,0.792003126130196,0.442937121734436,0.4950559456545849,0.2940033885949531,0.7360173683653359,0.7724978460963139,0.21500476827002857,0.2000089211127476,0.37300709987856073"
pmc2,"0.7319939418114051,0.3143559810763267,0.16162871409461377,0.5406351216101065,0.5052523724478571,0.30952761628632774,0.17701048427674682,0.3366042781939206,0.5762883601668132,0.18143543508979731,0.8729458358764083,0.8837858849634257,0.022123551528997254,0.05197128365147241,0.03667142693354297,0.025642065806435688,0.22665640222698802,0.3118161330852596,0.35325140850206416,0.7609907600280938,0.9062545805210367,0.157954822835348,0.4225484283119446,0.5126677259564164,0.409628894895232,0.5735289514555733,0.7486452341262,0.12555021476265338,0.9437015928202208,1.1634755366141114e-05,0.250467898792499,0.9145486638485589,0.19386306793689267,0.5590592849466022,0.9988926120332906,0.9972378999036027,0.1852703553833237,0.31754970025758844,0.8187402294840508,0.9150607325172224,0.760160929790159,0.548145202728022,0.1255497898984771,0.7551336174451959,0.2458474424934003,0.2881845259595295,0.9092526944369924,0.6631462489752088,0.9094295036858765,0.12324745813255145,0.8545473932021803,0.5709070537521448,0.6427774134799279,0.761889894377484,0.9581381198044961,0.23285855687609425,0.12525123109620795,0.5645940812903215,0.2717175988981797,0.1293806169667009,0.8723945633548149,0.31922529778618847,0.9200400525459036,0.48526674234262157,0.20351110833188646,0.4744531798445233,0.36602826574651526,0.3789559098125076,0.2193893891962463,0.03778450659567967,0.8312458050899425,0.959024175972966,0.5183996266330652,0.27470503280714365,0.5724077259677651,0.12508890983640353,0.5802285321991417,0.6447199773818176,0.986349922944162,0.26911975263801036,0.09575419866335766,0.38885149647411643,0.9369492539086954,0.708676719965507,0.5833329099885175,0.2806355798765158,0.8612322272603858,0.322978733363808,0.4807861681797273,0.7805218027570218,0.7249102718360844,0.3243136638755806,0.5992935663104787,0.8465344931234052,0.5598931015359494,0.5568444131345626,0.1709448935675858,0.7156355505577624,0.13084236134881977,0.14878828384915288"
pmc3,"0.5986584841970366,0.5085706911647028,0.8985541885270792,0.6374299014982066,0.8264574661077416,0.8137950197069487,0.08870253375705561,0.13441467693897424,0.6067150463828559,0.5830415609696922,0.7322248864095612,0.927752283195213,0.32361021914954125,0.5412963353010705,0.7364020150656405,0.34124782762615635,0.3549963058319373,0.5061418628402441,0.2965355812876552,0.03531135494023907,0.2495461998495061,0.6958991181688025,0.04202467517140529,0.29348882320812164,0.3112174950633936,0.9560471436119331,0.31758679526111666,0.016947664889580993,0.9601356044054472,0.4165658284822922,0.6248740996069989,0.43402097270875883,0.8588167711681547,0.3211621526359535,0.32663924942591094,0.030026005329392813,0.2786430631150364,0.8481092350156301,0.983567206513663,0.2511692675484013,0.15389990469377368,0.17464718589632955,0.9634799474743275,0.5866239182836627,0.35813971652914445,0.006464357789710551,0.3702321856845767,0.5953663701568727,0.19012876631870568,0.30767908947794853,0.34000438605989214,0.33242669217436516,0.7176761577934996,0.8933044937881227,0.2476316430714387,0.49200172943208276,0.6555099718461126,0.25232274426374524,0.8159557894152066,0.37582121900794097,0.6131162390692415,0.9059116712346476,0.6502550710936615,0.7779094067485368,0.873361117841438,0.009969234734518495,0.8071070203195128,0.30276760761742505,0.4643502498821417,0.6433697250697605,0.7667683563383357,0.6134018465221711,0.11260922934922069,0.887751524671688,0.404519524458235,0.12978296572261128,0.9040349864545593,0.3552896432193188,0.31521673737728606,0.8031330889362459,0.9225724049058001,0.04741563614008493,0.3772519857156954,0.2148546064249981,0.5383841868964332,0.9722297092163575,0.15468484818486117,0.23725436365713726,0.9920159693968357,0.7554372725155811,0.4360482979725878,0.7161645381776112,0.4763382934943662,0.5051657115227325,0.30091907316541877,0.9290208857168011,0.043904613630637246,0.8000544079513714,0.675811635742733,0.5583844775702219"
pmc4,"0.15601864044243652,0.907566473926093,0.6064290596595899,0.7260913337226615,0.32004960103061175,0.6847311725538793,0.12063587110060081,0.06337497047276774,0.424130671302386,0.42142455059249795,0.8065611478614497,0.9949078226464353,0.48864319040466575,0.7090605194509164,0.6638045276218051,0.38019561878585706,0.06942384274609337,0.4395116886329101,0.34970322974584955,0.7457337827312321,0.271949726128631,0.7932613504382544,0.7399041207669304,0.9317537194328164,0.6771206397350094,0.20047451552840279,0.00013469300448532007,0.770158211757096,0.5214596387214719,0.5225101810855884,0.5717459831437487,0.25871164215544096,0.6769407829968374,0.22011132590475313,0.7481839120488464,0.8973658657909319,0.21870980032358323,0.9471614629002478,0.259670838950414,0.8442123252861431,0.1492494697414739,0.2959320294366161,0.10804455937640711,0.8284386709389908,0.9895053333843224,0.49623922190081393,0.7512789243737669,0.4151456539927457,0.8212501545597043,0.9260595598182655,0.8696496848121713,0.3155331806631355,0.9766176373150092,0.4328399210571723,0.3480519554773205,0.31023528374470477,0.03979712733565255,0.9152899403792739,0.37831560716525947,0.09914611227762393,0.15720388355695425,0.12663712551837436,0.09041897779166075,0.3823633310616279,0.05976227417838442,0.08476615442633317,0.5232862493002498,0.4593460101728227,0.4332509323090279,0.26251029048316565,0.3506426914571469,0.26167136663750645,0.9339874185126172,0.040585712134695084,0.36361144919006383,0.5568183602783076,0.3201811674284386,0.04916082915504816,0.11530109033904934,0.04414556208745546,0.5684722021568196,0.8011715032953248,0.6640741211998341,0.04033016105151299,0.4544827329553567,0.15336482741574564,0.4515470228174244,0.26263361236607363,0.6866504233540373,0.606719579782232,0.6300345775424382,0.13541884981782804,0.9328462213602992,0.7480347393415887,0.1671343148693072,0.37796835564128417,0.6536986929050792,0.3461072407823951,0.5598831655769838,0.9173489015067489"
pmc5,"0.15599452033620265,0.24929222914887494,0.009197051616629648,0.9758520794625346,0.8955232284962005,0.1626169393448913,0.46077876803272577,0.9899602323899452,0.7364442356247228,0.8926717110769748,0.6587833667107174,0.1738952492194873,0.7704074178077932,0.8709691237460856,0.4746308757498139,0.3988227808969005,0.5190597909082704,0.10566468426174391,0.7746535311811819,0.2024805601652374,0.7593982624179637,0.31676167706752667,0.9180765521991506,0.39701504123719167,0.6057792494526903,0.10926421030962141,0.5111291392372298,0.8071555373648825,0.9773079079915037,0.054634420000972295,0.8328303767882711,0.4344033190066098,0.8379083748518036,0.3505205342861618,0.8066650530268165,0.622630533598658,0.1828377798688171,0.8848551176960043,0.969723632797977,0.4840205725094041,0.2681743677449133,0.6638244748527251,0.47849107010718916,0.08018675681211329,0.6843142489253448,0.2856259885622431,0.8969952893644111,0.42219223388067806,0.5446308711071358,0.16169455327398685,0.08813443097669149,0.10662361893659789,0.3772017824576387,0.5355424730977982,0.895555740873885,0.18176359776119422,0.5976823355234591,0.2656855648662635,0.08839696714675838,0.6229540441833817,0.9623380574812068,0.1785197892725987,0.9478565672536607,0.44312734532291453,0.8885992804371524,0.8076258695629751,0.11674790276879554,0.8179634943491536,0.7996918620027912,0.05234717843131309,0.3768106277742125,0.0669910943958476,0.183579627355146,0.9137274940064593,0.2168142759291083,0.9463786533583709,0.6702539760443592,0.03105687603515561,0.10699126117462332,0.9920921870288201,0.36372552113568424,0.6043807190828081,0.25508722242139814,0.20113654259037728,0.20928776153011985,0.7333279087168623,0.4080200912850811,0.504421039715213,0.8413567713051986,0.6267838170518446,0.3405759374211187,0.29129374720550527,0.07608472676550726,0.13895990524891622,0.4071737385988753,0.463675805773178,0.7739361288236722,0.17260911290227454,0.7896736137927557,0.39147973033401573"
pmc6,"0.05808361216819946,0.41038292303562973,0.1014715428660321,0.5163003483011953,0.3892016787341631,0.9109271844938425,0.2063337184057925,0.32235384497472297,0.9343670147690148,0.8174435617384409,0.6922765645178525,0.39624201890265875,0.6832953766065052,0.7140869321324278,0.8441704489691971,0.5801723692273323,0.0676125635922149,0.6408263146902062,0.6613706110704144,0.9580734801193802,0.44973984245054,0.857179256998753,0.28003732955048943,0.08709276679577149,0.36459372819754,0.8539619669554221,0.046851908527603126,0.12020722912057624,0.7573102071344389,0.9730781629723328,0.9060870604812605,0.723447817850001,0.8587642793494722,0.3725332737595508,0.8580232710072292,0.9733826191648212,0.825710951560667,0.7390669759393725,0.43123386979155787,0.5140954425512597,0.3610747263410372,0.9653027236303998,0.5855637287933019,0.4768388777331244,0.9489806670470013,0.7346083007105351,0.8461242105302316,0.7850639210464312,0.0778565196087696,0.9658323197183326,0.7767984372086307,0.3667983206462684,0.8018401684528059,0.47698339261765377,0.9666222208961075,0.5041328419184383,0.8696958848516338,0.8958157315601947,0.34222552477890456,0.4468741952004389,0.5183654633353206,0.4930301251588023,0.2585572636402459,0.37619046876962214,0.3290737794607279,0.7714733448596064,0.12906512482906296,0.9299217631456648,0.7394746538841134,0.23097931052806364,0.5335544335535795,0.028191340447222157,0.2527658599511641,0.8329941385530004,0.6696112565375176,0.41499775837075425,0.1879035887984165,0.5541812554487988,0.7194599676699719,0.13035167971479178,0.7565385834953067,0.19854285886820167,0.12703357597323173,0.1786288767542995,0.0037196608180591895,0.00041028943917487126,0.6874648040497281,0.7440494512285778,0.41484760656054576,0.6380032352162481,0.30115901978544535,0.1447106361365199,0.5011197008253482,0.2524138129765602,0.23227336479050076,0.08852231521472842,0.8138291315928432,0.00263215557958818,0.7388050500786865,0.8449503772726041"
pmc7,"0.8661761457749352,0.7555511385430487,0.6635017691080558,0.32295647294124596,0.01083765148029836,0.822537242923169,0.36426986104807546,0.8098744458546349,0.9255685129067763,0.34181735169787597,0.8491956515653193,0.7582384757040913,0.44590270637674834,0.8017280830697918,0.8056701529500532,0.5336025467268785,0.8003565078223616,0.2160381825095996,0.18519556786746794,0.3679407513020845,0.7767105569551812,0.9061432547657664,0.8583416767991209,0.6170665161178013,0.2178925542549901,0.4391498166337483,0.27616955782089947,0.2655828329586061,0.1616714362369619,0.22612533124967193,0.012156771477386807,0.009054161580370979,0.7483558536657398,0.06871367772396098,0.9976282974021565,0.4650095175264276,0.28570756766089034,0.27746467972495403,0.3475187953137546,0.308468281489484,0.4084555814084826,0.0504167736022092,0.5413744209074383,0.6300931268616634,0.1425565550331156,0.02394626527048349,0.1828133885392259,0.19571264009964906,0.9554481914380675,0.2057943769894217,0.8475476330547363,0.09949466887296465,0.43453096330449537,0.3892086186234388,0.44343910283604404,0.3228097934478503,0.8908321482896335,0.10347506364658465,0.9813833342412801,0.7779849715709368,0.072898451871655,0.08193843903814613,0.33721249040628576,0.36734051527727996,0.3145876334140665,0.915138820404896,0.5368591465026183,0.5450834128598901,0.4263182939907013,0.8019139528361265,0.0002410046851345493,0.24474507963692727,0.40663652688497043,0.29757071644081545,0.9706680277938705,0.32694210025469495,0.6247953987187252,0.7620327210390511,0.8545686640326409,0.7960685253969374,0.25736545840163405,0.49482845662142017,0.05853660008005013,0.33774799673484723,0.24150622685606127,0.5961826694023769,0.24986746525792936,0.5032192071829621,0.7678609231258553,0.6287213870255821,0.5782297861695137,0.8112305584013578,0.6869524413854383,0.7317760950376724,0.5348009769191681,0.6089991110519285,0.49350918266059995,0.45090365309314817,0.625211533857515,0.00024087451786647396"
pmc8,"0.6011150117432088,0.22879816549162246,0.005061583846218687,0.7951861947687037,0.9053819764192637,0.949799913291924,0.5034172708548569,0.25464065476376385,0.4508393714041321,0.2594234334312925,0.24966800885918594,0.6960206180537922,0.2736266662816659,0.33945019254280606,0.5853543643967521,0.6079050927934446,0.23371208191043302,0.6195879548978296,0.17410933533408435,0.3269316163380791,0.06536615756438524,0.2769044873778089,0.29221823046189777,0.11383839347660141,0.9880359661555919,0.8469688542070605,0.7069764874557162,0.01755236336662891,0.47690010646797,0.30419871963628087,0.6740199190587927,0.5894539894846972,0.43921060124971734,0.36957419942677316,0.24149648525686784,0.8473879305713737,0.9271237818644493,0.28161604210563174,0.05034952696935324,0.5730422006190157,0.6796972168333453,0.8903843208552661,0.0860321570329432,0.8286529061182892,0.38213947483256927,0.5848278113057909,0.9562918815133613,0.8202533189448897,0.24696116699189252,0.7415661084668296,0.18181765283733875,0.7665959447120516,0.8695336718149798,0.8874245353703603,0.3209970456408978,0.2581076431734147,0.4490377603699617,0.6565627023996523,0.6296835952592029,0.22047048099936983,0.6268329044150672,0.19598018470176193,0.40226041368354204,0.5259465769014594,0.5120885766986639,0.8545154359107495,0.9365702180708392,0.6614662053236519,0.3337042075756299,0.8514891816465466,0.24124433603802786,0.8814858195889105,0.3831644685591258,0.7892906546771047,0.17571524583682585,0.6066893231978858,0.33645035181751015,0.5373791904438551,0.2569522995084699,0.39477531677168287,0.6935098370463204,0.7423102455337244,0.30541349854275135,0.4184494971754581,0.5097231716035652,0.9159430039540524,0.6402509149522763,0.06779639582811259,0.040509172941321836,0.5537282313983612,0.49812967418398035,0.22264923522678537,0.7919065384222369,0.16473400888772405,0.19882853028647995,0.28821196844810604,0.2053681846899853,0.3524327315388416,0.9863821716288922,0.1685146434591842"
pmc9,"0.7080725777960455,0.07697990982879299,0.16080805141749865,0.2708322512620742,0.09128667678613356,0.72571950838836,0.6903948286293653,0.6815027222239293,0.11323804584075525,0.3796924081672669,0.4894249636431405,0.15389590633985506,0.9971245001577111,0.8148251137465122,0.8682712805132586,0.7648832615421283,0.5400119146045106,0.6502010923981534,0.09839564971339732,0.14888805033244468,0.4875711936733843,0.9835214727152221,0.9107701616439152,0.3452231428016921,0.45400162119611487,0.8930902051954149,0.06268962162186587,0.2933086107805647,0.718331175372004,0.30394251225502733,0.05183579911972902,0.6132916848873791,0.6105467550154245,0.4642385197392249,0.04035082685969971,0.06239406859827723,0.9699265253451909,0.9633603204460379,0.05276525785960262,0.3252111962762113,0.056680432165835404,0.5768812013112085,0.05702691400361937,0.7834695600492677,0.5547318032823543,0.9414742375060654,0.37667644042946247,0.6487471138950182,0.8596453453526065,0.5466772648973117,0.43034653237220044,0.9662742977481859,0.18065754131130318,0.8939335106699905,0.526094013251542,0.4639854174403808,0.45930368821307377,0.9069855184382437,0.41616094640615775,0.16456605842933492,0.2531989070128102,0.9437663822120144,0.05122429640431325,0.8087994445011507,0.9406901877232318,0.6831755632398181,0.30835212167619874,0.9032736222389142,0.3164687840614986,0.48306624519330266,0.20823180860821444,0.4159136542975095,0.794662892397889,0.03121356033874756,0.5971166200155034,0.9304486005450311,0.21120825858795167,0.8407850719391146,0.02090951233523497,0.49221618328746686,0.03971120757224722,0.7704117870686438,0.15766102679690797,0.5085388914977079,0.37995995225975254,0.287934094093219,0.877489241731488,0.7235807004399809,0.12291118254224498,0.9864140184828889,0.5795363691499811,0.7174035554052103,0.5830186474441363,0.35135593465492676,0.5084059766446271,0.16030903951556885,0.7372276772498267,0.5549098338254089,0.5335897301104087,0.03042353965408562"
